Date,Auction Price â‚¬/tCO2
2019-12-16,24.21
2019-12-13,25.33
2019-12-12,24.62
2019-12-10,24.98
2019-12-09,24.4
2019-12-06,24.7
2019-12-05,24.5
2019-12-04,24.1
2019-12-03,24.41
2019-12-02,24.62
2019-11-29,25.03
2019-11-28,24.91
2019-11-26,24.29
2019-11-25,24.52
2019-11-22,24.32
2019-11-21,23.96
2019-11-20,23.34
2019-11-19,23.62
2019-11-18,23.41
2019-11-15,23.41
2019-11-14,24.28
2019-11-12,24.95
2019-11-11,25.21
2019-11-08,24.62
2019-11-07,24.86
2019-11-06,25.18
2019-11-06,25.1
2019-11-05,25.8
2019-11-04,24.93
2019-11-01,25.71
2019-10-31,25.95
2019-10-29,25.4
2019-10-28,24.68
2019-10-25,24.86
2019-10-24,24.61
2019-10-23,25.09
2019-10-22,25.7
2019-10-21,25.9
2019-10-18,25.64
2019-10-17,25.96
2019-10-15,24.48
2019-10-14,23.82
2019-10-11,23.62
2019-10-10,22.83
2019-10-09,22.32
2019-10-09,22.16
2019-10-08,23.37
2019-10-07,22.77
2019-10-04,23.41
2019-10-03,24.03
2019-10-01,24.4
2019-09-30,25.03
2019-09-27,25.3
2019-09-26,25.21
2019-09-25,25.17
2019-09-24,25.59
2019-09-23,25.93
2019-09-20,26.17
2019-09-19,25.56
2019-09-17,26.75
2019-09-16,26.58
2019-09-13,26.22
2019-09-12,26.55
2019-09-11,26.34
2019-09-11,26.68
2019-09-10,25.5
2019-09-09,25.01
2019-09-06,25.46
2019-09-03,24.82
2019-09-02,25.4
2019-08-30,26.8
2019-08-29,25.93
2019-08-28,26.0
2019-08-27,25.25
2019-08-23,25.33
2019-08-22,25.78
2019-08-20,26.94
2019-08-19,26.25
2019-08-16,26.12
2019-08-15,26.41
2019-08-14,27.15
2019-08-13,27.1
2019-08-12,27.7
2019-08-09,28.37
2019-08-08,28.68
2019-08-06,28.48
2019-08-05,28.82
2019-08-02,29.1
2019-08-01,28.9
2019-07-31,28.04
2019-07-30,28.18
2019-07-29,28.8
2019-07-26,28.51
2019-07-25,29.46
2019-07-23,29.05
2019-07-22,28.96
2019-07-19,28.15
2019-07-18,27.99
2019-07-17,28.37
2019-07-17,27.97
2019-07-16,29.1
2019-07-15,29.15
2019-07-12,28.25
2019-07-11,28.5
2019-07-09,26.68
2019-07-08,26.6
2019-07-05,25.84
2019-07-04,26.22
2019-07-03,26.33
2019-07-02,27.22
2019-07-01,26.72
2019-06-28,26.4
2019-06-27,27.1
2019-06-24,25.64
2019-06-21,24.87
2019-06-20,24.86
2019-06-19,24.98
2019-06-18,24.98
2019-06-17,24.78
2019-06-14,24.67
2019-06-13,24.92
2019-06-11,25.12
2019-06-07,24.24
2019-06-06,24.07
2019-06-05,24.42
2019-06-04,23.86
2019-06-03,23.96
2019-05-28,25.3
2019-05-24,25.61
2019-05-23,26.05
2019-05-22,25.65
2019-05-22,25.4
2019-05-21,25.01
2019-05-20,24.91
2019-05-17,25.01
2019-05-16,25.81
2019-05-14,25.03
2019-05-13,25.25
2019-05-10,26.35
2019-05-09,26.81
2019-05-08,26.5
2019-05-08,25.82
2019-05-07,25.65
2019-05-03,24.32
2019-05-02,25.04
2019-04-30,25.85
2019-04-29,25.81
2019-04-26,26.79
2019-04-25,27.46
2019-04-24,27.02
2019-04-23,27.17
2019-04-18,26.92
2019-04-16,26.8
2019-04-15,27.0
2019-04-12,26.72
2019-04-11,25.88
2019-04-10,26.21
2019-04-09,25.2
2019-04-08,24.07
2019-04-05,24.17
2019-04-04,23.65
2019-04-02,21.4
2019-04-01,21.06
2019-03-29,21.83
2019-03-28,21.55
2019-03-27,21.45
2019-03-26,21.17
2019-03-25,20.6
2019-03-22,20.64
2019-03-21,21.1
2019-03-19,21.35
2019-03-18,21.5
2019-03-15,22.77
2019-03-14,22.23
2019-03-13,21.98
2019-03-13,21.99
2019-03-12,22.48
2019-03-11,22.6
2019-03-08,22.88
2019-03-07,22.03
2019-03-05,22.86
2019-03-04,22.12
2019-03-01,21.31
2019-02-28,20.9
2019-02-27,20.31
2019-02-26,19.6
2019-02-25,18.62
2019-02-22,18.35
2019-02-21,19.85
2019-02-19,20.26
2019-02-18,20.14
2019-02-15,19.99
2019-02-14,20.86
2019-02-13,20.01
2019-02-12,21.71
2019-02-11,21.8
2019-02-08,23.28
2019-02-07,23.8
2019-02-05,22.93
2019-02-04,21.38
2019-02-01,21.38
2019-01-31,22.3
2019-01-30,22.91
2019-01-29,22.43
2019-01-28,23.01
2019-01-24,24.6
2019-01-22,24.42
2019-01-21,24.22
2019-01-17,23.55
2019-01-16,22.81
2019-01-16,22.72
2019-01-15,22.55
2019-01-14,21.95
2019-01-10,21.4
2019-01-08,22.4
2019-01-07,23.01
